,title,created,type,price,available,sku
0,Party Bundle,2020-08-18T21:07:52-04:00,Bundle,22.49,False,01782
1,Head In The Clouds Blanket Hoodie,2023-01-03T15:44:22-05:00,Hoodie,69.99,True,70000
2,Zig-Zag x Flower Mill - Grinder,2022-07-13T14:02:26-04:00,,74.99,True,01917
3,Large Vintage Blue Rolling Tray,2022-07-18T11:43:29-04:00,Accessories,10.80,True,99116
4,Large Vintage White Rolling Tray,2022-07-18T11:41:32-04:00,Accessories,10.80,True,99113
5,Small Vintage Starburst Rolling Tray,2022-07-18T11:37:26-04:00,Accessories,7.20,True,99111
6,Small Vintage Lanterns Rolling Tray,2022-07-18T11:38:53-04:00,Accessories,7.20,True,99109
7,Terpene Infused Hemp Cones - Shortcake,2022-06-28T15:25:52-04:00,Hemp Cones,1.88,True,10667
8,Terpene Infused Hemp Cones - Shortcake,2022-06-28T15:25:52-04:00,Hemp Cones,24.30,True,10668
9,Terpene Infused Hemp Cones - Limoncello,2022-06-28T15:25:59-04:00,Hemp Cones,1.88,True,10674
10,Terpene Infused Hemp Cones - Limoncello,2022-06-28T15:25:59-04:00,Hemp Cones,24.30,True,10675
11,Terpene Infused Hemp Cones - Grand Daddy Purp,2022-06-28T15:26:06-04:00,Hemp Cones,1.88,True,10663
12,Terpene Infused Hemp Cones - Grand Daddy Purp,2022-06-28T15:26:06-04:00,Hemp Cones,24.30,True,10664
13,Terpene Infused Hemp Cones - Clementine,2022-06-28T15:25:45-04:00,Hemp Cones,1.88,True,10670
14,Terpene Infused Hemp Cones - Clementine,2022-06-28T15:25:45-04:00,Hemp Cones,24.30,True,10671
15,Rose Cones,2022-05-03T17:41:03-04:00,Cones,15.99,True,10677
16,Rose Cones,2022-05-03T17:41:03-04:00,Cones,116.00,True,10678
17,Tin Sign - French Orange,2022-04-07T18:30:00-04:00,,11.99,True,E424315
18,Tin Sign - Original White,2022-04-07T18:29:58-04:00,,11.99,True,E424314
19,Tin Sign - Organic Hemp,2022-04-07T18:29:57-04:00,,11.99,True,E424313
20,Tin Sign - Unbleached Cones,2022-04-07T18:29:55-04:00,,11.99,True,E424312
21,New School 1 1/4 Bundle,2020-01-02T18:58:32-05:00,Bundle,13.49,True,01777
22,The Roller Bundle,2020-01-02T17:39:45-05:00,Bundle,13.49,True,01772
23,Unbleached Bundle,2020-09-01T14:05:17-04:00,Bundle,13.49,True,01794
24,Zig-Zag Tie-Dye Skateboard,2022-01-19T15:29:08-05:00,Apparel,59.99,True,01845
25,Zig-Zag Original White Skateboard,2022-01-19T15:26:03-05:00,Apparel,59.99,True,01843
26,Zig-Zag King Skateboard,2022-01-19T15:27:06-05:00,Apparel,59.99,True,01844
27,Zig-Zag French Orange Skateboard,2022-01-19T15:23:56-05:00,Apparel,59.99,True,01842
28,Zig-Zag Blue Skateboard,2022-01-19T15:30:27-05:00,Apparel,59.99,True,01846
29,Zig Zag Hemp Wraps - OG Purp,2021-11-03T20:49:47-04:00,Hemp Wraps,21.99,True,10640
30,Zig Zag Hemp Wraps - Natural,2021-11-03T20:49:36-04:00,Hemp Wraps,21.99,True,10631
31,Zig Zag Hemp Wraps - Island Vibes,2021-11-03T20:49:40-04:00,Hemp Wraps,21.99,True,10634
32,Zig Zag Hemp Wraps - Blue Dream,2021-11-03T20:49:44-04:00,Hemp Wraps,21.99,True,10637
33,1879 Leather Duffle Bag - Unbleached,2021-11-23T18:33:16-05:00,Accessories,299.99,False,
34,1879 Leather Duffle Bag - French Orange,2021-11-23T18:32:13-05:00,Accessories,299.99,False,
35,1879 Leather Card Holder,2021-11-23T18:31:40-05:00,Accessories,49.99,False,
36,1879 Leather Rolling Tray,2021-11-23T18:30:33-05:00,Accessories,29.99,False,
37,1879 Floral Hoodie - Unbleached,2021-11-23T18:27:42-05:00,Apparel,69.99,False,
38,1879 Floral Hoodie - Unbleached,2021-11-23T18:27:42-05:00,Apparel,69.99,False,
39,1879 Floral Hoodie - Unbleached,2021-11-23T18:27:42-05:00,Apparel,69.99,False,
40,1879 Floral Hoodie - Unbleached,2021-11-23T18:27:42-05:00,Apparel,69.99,False,
41,1879 Floral Hoodie - Unbleached,2021-11-23T18:27:42-05:00,Apparel,69.99,False,
42,1879 Floral Hoodie - Black,2021-11-23T18:26:33-05:00,Apparel,69.99,False,
43,1879 Floral Hoodie - Black,2021-11-23T18:26:33-05:00,Apparel,69.99,False,
44,1879 Floral Hoodie - Black,2021-11-23T18:26:33-05:00,Apparel,69.99,False,
45,1879 Floral Hoodie - Black,2021-11-23T18:26:33-05:00,Apparel,69.99,False,
46,1879 Floral Hoodie - Black,2021-11-23T18:26:33-05:00,Apparel,69.99,False,
47,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
48,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
49,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
50,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
51,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
52,1879 Zouave Joggers - Unbleached,2021-11-23T18:25:09-05:00,Apparel,59.99,False,
53,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
54,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
55,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
56,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
57,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
58,1879 Zouave Joggers - Black,2021-11-23T18:15:53-05:00,Apparel,59.99,False,
59,1879 Braunstein Freres Long Sleeve - White,2021-11-23T18:14:22-05:00,Apparel,44.99,False,
60,1879 Braunstein Freres Long Sleeve - White,2021-11-23T18:14:22-05:00,Apparel,44.99,False,
61,1879 Braunstein Freres Long Sleeve - White,2021-11-23T18:14:22-05:00,Apparel,44.99,False,
62,1879 Braunstein Freres Long Sleeve - White,2021-11-23T18:14:22-05:00,Apparel,44.99,False,
63,1879 Braunstein Freres Long Sleeve - White,2021-11-23T18:14:22-05:00,Apparel,44.99,False,
64,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
65,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
66,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
67,1879 Braunstein Freres Long Sleeve - Black,2021-11-23T18:11:59-05:00,Apparel,44.99,False,
