,title,link,votes
0,Maybe treating housing as an investment was a mistake (goodreason.substack.com),"<a href=""https://goodreason.substack.com/p/maybe-treating-housing-as-an-investment"">Maybe treating housing as an investment was a mistake</a>",683
1,3dfx: So powerful it’s kind of ridiculous (abortretry.fail),"<a href=""https://www.abortretry.fail/p/so-powerful-its-kind-of-ridiculous"">3dfx: So powerful it’s kind of ridiculous</a>",645
2,After Dark Screensavers in CSS (bryanbraun.com),"<a href=""https://www.bryanbraun.com/after-dark-css/"">After Dark Screensavers in CSS</a>",528
3,"Show HN: Lander, a lunar lander style web game (ehmorris.com)","<a href=""https://ehmorris.com/lander/"">Show HN: Lander, a lunar lander style web game</a>",507
4,I'm a very slow thinker (2016) (sive.rs),"<a href=""https://sive.rs/slow"">I'm a very slow thinker (2016)</a>",465
5,ChatGPT generated a puzzle game (puzzledpenguin.substack.com),"<a href=""https://puzzledpenguin.substack.com/p/chatgpt-invented-its-own-puzzle-game"">ChatGPT generated a puzzle game</a>",397
6,The words you choose within an app are an essential part of its user experience (developer.apple.com),"<a href=""https://developer.apple.com/design/human-interface-guidelines/foundations/writing/"">The words you choose within an app are an essential part of its user experience</a>",392
7,Google Search Is Dying (2022) (dkb.blog),"<a href=""https://dkb.blog/p/google-search-is-dying"">Google Search Is Dying (2022)</a>",356
8,Reliability: It’s Not Great (fly.io),"<a href=""https://community.fly.io/t/reliability-its-not-great/11253"">Reliability: It’s Not Great</a>",345
9,Phoenix 1.7.0 (phoenixframework.org),"<a href=""https://www.phoenixframework.org/blog/phoenix-1.7-final-released"">Phoenix 1.7.0</a>",337
10,How to hire engineering talent without the BS (jes.al),"<a href=""https://jes.al/2023/03/how-to-hire-engineering-talent-without-the-bs/"">How to hire engineering talent without the BS</a>",331
11,"Show HN: Llama-dl – high-speed download of LLaMA, Facebook's 65B GPT model (github.com/shawwn)","<a href=""https://github.com/shawwn/llama-dl"">Show HN: Llama-dl – high-speed download of LLaMA, Facebook's 65B GPT model</a>",307
12,Rogule: A dungeon a day keeps the Balrog away (rogule.com),"<a href=""https://rogule.com/"">Rogule: A dungeon a day keeps the Balrog away</a>",298
13,"Van Gogh, AMD’s Steam Deck APU (chipsandcheese.com)","<a href=""https://chipsandcheese.com/2023/03/05/van-gogh-amds-steam-deck-apu/"">Van Gogh, AMD’s Steam Deck APU</a>",294
14,"Amazon is closing its cashierless stores in NYC, San Francisco and Seattle (cstoredive.com)","<a href=""https://www.cstoredive.com/news/amazon-go-closing-8-of-its-c-stores/644167/"">Amazon is closing its cashierless stores in NYC, San Francisco and Seattle</a>",269
15,Want an unfair advantage in your tech career? Consume content for other roles (matthewgrohman.substack.com),"<a href=""https://matthewgrohman.substack.com/p/want-an-unfair-advantage-in-your"">Want an unfair advantage in your tech career? Consume content for other roles</a>",226
16,ChatGPT broke the EU plan to regulate AI (politico.eu),"<a href=""https://www.politico.eu/article/eu-plan-regulate-chatgpt-openai-artificial-intelligence-act/"">ChatGPT broke the EU plan to regulate AI</a>",224
17,Show HN: Faster FastAPI with simdjson and io_uring on Linux 5.19 (github.com/unum-cloud),"<a href=""https://github.com/unum-cloud/ujrpc"">Show HN: Faster FastAPI with simdjson and io_uring on Linux 5.19</a>",222
18,Twitter was down (twitter.com/twittersupport),"<a href=""https://twitter.com/TwitterSupport/status/1632792942262747136"">Twitter was down</a>",221
19,Why does the all 0 public key have a known private key in SR25519 and ED25519? (substrate.stackexchange.com),"<a href=""https://substrate.stackexchange.com/questions/982/why-does-the-all-0-public-key-have-a-known-private-key-in-sr25519-and-ed25519"">Why does the all 0 public key have a known private key in SR25519 and ED25519?</a>",217
20,"SimCity launched a decade ago, and it was so disastrous it killed the series (pcgamer.com)","<a href=""https://www.pcgamer.com/simcity-launched-a-decade-ago-and-it-was-so-disastrous-it-killed-the-series/"">SimCity launched a decade ago, and it was so disastrous it killed the series</a>",211
21,The Waluigi Effect (lesswrong.com),"<a href=""https://www.lesswrong.com/posts/D7PumeYTDPfBTp3i7/the-waluigi-effect-mega-post"">The Waluigi Effect</a>",186
22,Five years of indie hacking (allisonseboldt.com),"<a href=""https://allisonseboldt.com/5-years-of-indie-hacking/"">Five years of indie hacking</a>",172
23,The Smallest Hash Table (orlp.net),"<a href=""https://orlp.net/blog/worlds-smallest-hash-table/"">The Smallest Hash Table</a>",167
24,Cities: Skylines II (steampowered.com),"<a href=""https://store.steampowered.com/app/949230/Cities_Skylines_II/"">Cities: Skylines II</a>",165
25,Alaska’s Fisheries Are Collapsing (politico.com),"<a href=""https://www.politico.com/news/magazine/2023/03/03/alaskas-fisheries-collapsing-peltola-industry-blame-00066843"">Alaska’s Fisheries Are Collapsing</a>",164
26,Even the Pylint codebase uses Ruff (github.com/pycqa),"<a href=""https://github.com/PyCQA/pylint/blob/47cb11f4cb01a61f83d915d88e828f103a479980/pyproject.toml"">Even the Pylint codebase uses Ruff</a>",155
27,The perks workers want also make them more productive (fivethirtyeight.com),"<a href=""https://fivethirtyeight.com/features/employee-perks-future-of-work/"">The perks workers want also make them more productive</a>",154
